Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),Seat Capacity,Female Supernumerary
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,33,2,8,1,12,1,5,0,21,1,84,105,0
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,0,6,0,9,1,4,1,17,1,66,82,0
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,0,6,0,9,1,5,0,15,0,60,75,0
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,7,0,3,0,11,0,43,54,0
Indian Institute  of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,1,0,5,0,16,20,0
Indian Institute  of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16,20,0
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,32,2,8,1,12,1,6,0,21,1,84,105,0
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,1,3,0,4,0,2,0,8,0,28,35,0
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,0,5,1,9,0,3,1,16,0,59,66,6
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,40,1,9,1,14,1,7,1,27,1,102,113,11
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,47,2,11,1,17,1,8,1,30,2,120,130,16
Indian Institute  of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37,37,9
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,61,3,15,1,23,1,11,1,41,2,159,170,28
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,1,8,1,12,1,6,1,23,1,89,90,22
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,5,0,6,1,3,0,11,1,46,52,6
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,64,3,15,1,24,1,10,1,42,2,163,169,33
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,34,1,8,0,12,0,6,0,21,1,83,102,3
Indian Institute  of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,36,4
Indian Institute  of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,0,3,1,6,0,2,1,9,0,37,41,6
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,12,0,2,1,3,1,2,0,7,0,28,35,0
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,13,0,2,1,4,1,2,0,9,0,32,40,0
Indian Institute  of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",All India,Gender-Neutral,6,0,1,0,2,0,1,0,3,1,14,18,0
Indian Institute  of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",All India,Gender-Neutral,8,1,2,0,3,0,2,0,6,0,22,25,3
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,29,1,7,1,10,1,5,0,18,1,73,80,9
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,3,1,6,0,3,0,10,1,40,46,4
Indian Institute  of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,30,0
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,0,9,1,4,1,16,1,64,74,6
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,7,1,4,0,14,1,56,67,3
Indian Institute  of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24,30,0
Indian Institute  of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,0,2,0,3,0,2,0,5,1,24,30,0
Indian Institute  of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,0,3,0,5,1,24,30,0
Indian Institute  of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,30,0
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,4,1,6,1,4,0,13,0,48,54,6
Indian Institute  of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,4,0,2,0,5,1,24,30,0
Indian Institute  of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,6,0,2,1,11,0,40,50,0
Indian Institute  of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,30,0
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,5,0,7,0,4,0,12,1,48,60,0
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,23,1,5,1,9,0,4,1,16,0,60,75,0
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,34,1,8,1,12,1,6,1,23,1,88,110,0
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,31,1,8,0,11,1,5,1,20,1,79,99,0
Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,34,2,9,0,12,1,6,1,22,1,88,110,0
